time,temperature,humidity
2025-12-01 23:24:16,21.0,41.3
2025-12-01 23:24:28,20.2,43.9
2025-12-01 23:24:39,20.2,43.8
2025-12-01 23:24:43,20.2,43.8
2025-12-01 23:24:46,20.2,43.9
2025-12-01 23:24:52,20.2,43.9
2025-12-01 23:24:56,20.2,43.7
2025-12-01 23:24:59,20.2,43.9
2025-12-01 23:25:08,20.2,43.8
2025-12-01 23:25:12,20.2,43.7
2025-12-01 23:25:15,20.2,43.8
2025-12-01 23:25:19,20.2,43.8
2025-12-01 23:25:22,20.2,43.8
2025-12-01 23:25:26,20.2,43.9
2025-12-01 23:25:30,20.2,43.8
2025-12-01 23:25:46,20.2,43.9
2025-12-01 23:25:50,20.2,43.9
2025-12-01 23:25:53,20.2,43.9
2025-12-01 23:25:57,20.2,43.8
2025-12-01 23:26:03,20.2,43.8
2025-12-01 23:26:09,20.2,43.7
2025-12-01 23:26:13,20.2,43.9
2025-12-01 23:26:19,20.2,43.7
2025-12-01 23:26:22,20.2,43.8
2025-12-01 23:26:26,20.2,43.9
2025-12-01 23:26:35,20.2,43.8
2025-12-01 23:26:38,20.2,43.8
2025-12-01 23:26:42,20.2,43.8
2025-12-01 23:26:45,20.2,43.7
2025-12-01 23:26:52,20.2,43.7
2025-12-01 23:26:55,20.2,43.8
2025-12-01 23:27:01,20.2,43.9
2025-12-01 23:27:05,20.2,43.9
2025-12-01 23:27:09,20.2,43.8
2025-12-01 23:27:12,20.2,43.9
2025-12-01 23:27:16,20.2,43.9
2025-12-01 23:27:19,20.2,43.9
2025-12-01 23:27:25,20.2,43.8
2025-12-01 23:27:29,20.2,43.8
2025-12-01 23:27:33,20.2,43.9
2025-12-01 23:27:36,20.2,43.9
2025-12-01 23:27:42,20.2,43.8
2025-12-01 23:27:46,20.2,43.8
2025-12-01 23:27:49,20.2,43.8
2025-12-01 23:28:03,20.2,43.8
2025-12-01 23:28:07,20.2,43.7
2025-12-01 23:28:10,20.3,43.8
2025-12-01 23:28:14,20.2,43.8
2025-12-01 23:28:18,20.2,43.8
2025-12-01 23:28:24,20.2,43.8
2025-12-01 23:28:27,20.2,43.8
2025-12-01 23:28:31,20.2,43.8
2025-12-01 23:28:37,20.2,43.8
2025-12-01 23:28:46,20.2,43.9
2025-12-01 23:28:49,20.3,44.0
2025-12-01 23:28:53,20.2,43.7
2025-12-01 23:28:57,20.2,43.9
2025-12-01 23:29:00,20.3,43.9
2025-12-01 23:29:11,20.2,43.9
2025-12-01 23:29:20,20.2,43.9
2025-12-01 23:29:29,20.2,43.9
2025-12-01 23:29:32,20.2,43.9
2025-12-01 23:29:36,20.2,43.8
2025-12-01 23:29:45,20.3,43.8
2025-12-01 23:29:48,20.3,43.9
2025-12-01 23:29:52,20.3,43.8
2025-12-01 23:29:55,20.3,43.9
2025-12-01 23:30:12,20.3,43.8
2025-12-01 23:30:15,20.3,43.8
2025-12-01 23:30:19,20.3,43.8
2025-12-01 23:30:25,20.3,43.7
2025-12-01 23:30:29,20.3,43.8
2025-12-01 23:30:32,20.3,43.7
2025-12-01 23:30:36,20.3,43.9
2025-12-01 23:30:42,20.3,43.7
2025-12-01 23:30:46,20.3,43.8
2025-12-01 23:31:02,20.3,43.6
2025-12-01 23:31:08,20.3,43.8
2025-12-01 23:31:12,20.3,43.6
2025-12-01 23:31:15,20.3,43.8
2025-12-01 23:31:19,20.3,43.9
2025-12-01 23:31:25,20.3,43.8
2025-12-01 23:31:29,20.3,43.8
2025-12-01 23:31:35,20.3,43.8
2025-12-01 23:31:38,20.3,43.9
2025-12-01 23:31:42,20.2,43.8
2025-12-01 23:31:46,20.3,43.7
2025-12-01 23:31:49,20.3,43.8
2025-12-01 23:31:53,20.3,43.9
2025-12-01 23:31:56,20.3,43.9
2025-12-01 23:32:00,20.2,43.8
2025-12-01 23:32:06,20.2,43.7
2025-12-01 23:32:12,20.3,43.9
2025-12-01 23:32:16,20.2,43.7
2025-12-01 23:32:19,20.2,43.9
2025-12-01 23:32:25,20.3,43.8
2025-12-01 23:32:32,20.3,43.8
2025-12-01 23:32:35,20.3,44.0
2025-12-01 23:32:39,20.3,43.9
2025-12-01 23:32:42,20.3,43.9
2025-12-01 23:32:46,20.3,43.8
2025-12-01 23:32:50,20.3,43.9
2025-12-01 23:32:53,20.3,43.9
2025-12-01 23:32:59,20.3,43.7
2025-12-01 23:33:03,20.3,43.9
2025-12-01 23:33:09,20.3,43.7
2025-12-01 23:33:13,20.3,43.8
2025-12-01 23:33:16,20.3,43.8
2025-12-01 23:33:20,20.3,43.7
2025-12-01 23:33:23,20.3,43.9
2025-12-01 23:33:27,20.3,43.8
2025-12-01 23:33:33,20.3,43.8
2025-12-01 23:33:37,20.3,43.8
2025-12-01 23:33:48,20.3,43.8
2025-12-01 23:33:51,20.3,43.8
2025-12-01 23:33:58,20.3,43.8
2025-12-01 23:34:04,20.3,43.8
2025-12-01 23:34:07,20.3,43.9
2025-12-01 23:34:11,20.3,43.8
2025-12-01 23:34:17,20.3,43.8
2025-12-01 23:34:23,20.3,43.8
2025-12-01 23:34:27,20.3,43.8
2025-12-01 23:34:30,20.3,43.8
2025-12-01 23:34:34,20.3,43.8
2025-12-01 23:34:40,20.3,43.7
2025-12-01 23:34:44,20.3,43.8
2025-12-01 23:34:47,20.3,43.8
2025-12-01 23:34:51,20.3,43.8
2025-12-01 23:39:09,20.3,43.9
2025-12-01 23:39:15,20.3,43.9
2025-12-01 23:39:21,20.3,43.9
2025-12-01 23:39:28,20.3,43.7
2025-12-01 23:39:31,20.3,43.9
2025-12-01 23:39:37,20.3,43.8
2025-12-01 23:39:41,20.3,43.9
2025-12-01 23:39:44,20.3,43.9
2025-12-01 23:39:48,20.3,43.9
2025-12-01 23:39:52,20.3,43.9
2025-12-01 23:39:55,20.3,43.9
2025-12-01 23:39:59,20.3,43.9
2025-12-01 23:40:05,20.3,43.9
2025-12-01 23:40:09,20.3,43.8
2025-12-01 23:40:12,20.3,44.0
2025-12-01 23:40:16,20.3,43.8
2025-12-01 23:40:19,20.3,43.8
2025-12-01 23:40:23,20.3,43.9
